N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
8200;22559;13823;11746;10761;10340;10029;9764;9708;9438;9476;9456;9461;
8300;22814;14037;11913;10961;10427;10233;10000;9942;9806;9675;9548;9566;
8400;23129;14150;12089;11076;10430;10311;10015;9958;9856;9783;9669;9638;
8500;23062;14365;12205;11153;10794;10282;10189;9992;9976;9910;9599;9842;
8600;23481;14357;12437;11338;10800;10388;10210;10179;10093;9922;9811;9911;
8700;23707;14612;12455;11486;11048;10600;10211;10248;10323;10090;10006;9977;
8800;23831;14886;12629;11668;11163;10564;10585;10410;10386;10213;10039;10020;
8900;24353;14782;12630;11753;11304;10819;10657;10600;10384;10356;10191;10247;
9000;24447;15167;12641;11923;11399;10897;10813;10664;10535;10535;10345;10358;
9100;24855;15273;12922;12045;11528;11096;10872;10704;10744;10612;10417;10395;
9200;24870;15457;13109;12243;11607;11219;11081;10881;10772;10575;10514;10359;
9300;25551;15443;13358;12345;11695;11250;11146;11000;10878;10671;10632;10727;
9400;25413;15749;13213;12426;11820;11455;11217;11116;11036;10857;10665;10710;
9500;25925;15824;13616;12590;11936;11515;11305;11307;11143;10683;10805;10880;
9600;26204;16081;13758;12651;12091;11698;11504;11305;11269;10995;10838;10895;
9700;26292;16151;13536;12800;12289;11874;11588;11405;11438;11039;11134;10999;
9800;26705;16432;13902;13016;12384;11984;11705;11335;11442;11158;11255;11113;
9900;26796;16609;14092;12903;12497;11961;11818;11535;11649;11401;11369;11240;
10000;27405;16741;14187;13170;12588;12238;11934;11623;11687;11469;11504;11341;
