N;RK30;RKN2;RKN;SK30;SKN2;SKN
7700;6501.377854;5347.454161;2356.988545;456.816156;1167.075405;408.383398;
7800;6099.418087;6867.543520;2244.671691;375.249250;981.732143;360.952906;
7900;6241.075308;6256.446995;2739.478783;345.679042;749.288329;344.811543;
8000;5833.311238;7015.752276;3433.497779;382.661731;431.495075;413.688288;
8100;6828.563465;6532.257726;2795.606553;409.721857;435.483639;387.058135;
8200;7119.795292;6495.080985;2687.408231;458.225927;822.767282;435.193061;
8300;6893.214417;6913.540772;3065.064600;377.605614;1444.036703;371.040429;
8400;7559.978042;6324.003637;2708.565857;320.176514;278.406178;263.324894;
8500;8508.650892;7154.233712;2857.170103;404.608453;321.062299;381.511468;
8600;7742.305341;7347.268948;3226.446652;416.533312;1100.939145;395.781505;
8700;7148.665680;7835.830779;3018.838518;326.487366;331.632327;345.509768;
8800;7846.853000;6885.717247;3236.859435;374.140348;824.635677;355.716179;
8900;7830.763947;7077.973721;2984.758282;377.853146;382.788453;397.488365;
9000;7564.678248;7225.088304;3082.073004;328.785644;820.391979;287.343001;
9100;7458.619443;8496.002295;3377.485159;390.058970;1123.965302;341.068908;
9200;7683.502782;6210.090821;2686.788045;420.130932;1367.721097;362.997245;
9300;7877.647809;8644.802253;3293.522582;326.643537;386.130807;371.861533;
9400;7930.777137;7780.956561;3797.811607;323.303263;365.984972;300.990033;
9500;8396.564059;7093.507031;3787.073144;361.912973;1185.157795;312.483600;
9600;7418.525460;7338.045584;3486.407176;396.565253;880.013068;317.650752;
9700;8328.421819;8682.288869;3270.344019;440.904752;965.145585;417.919849;
9800;8159.951348;8066.140279;3083.279423;414.271650;1204.249144;359.905543;
9900;7357.501206;8109.897595;3608.503429;384.018229;358.388058;335.879443;
10000;9204.543280;7831.904111;2971.079433;437.136134;982.672377;537.054001;
