N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
8100;33913;24071;21325;19550;18925;18536;18144;18073;17978;17354;17477;17421;
8200;34985;24139;20359;20450;19164;18676;18222;18187;17855;17728;17629;17624;
8300;36642;24224;21401;20352;19379;18867;18524;18462;17982;18101;17901;17778;
8400;36880;24859;21446;20625;19607;19009;18591;18211;18423;18328;18147;17859;
8500;37079;25236;21698;20690;19997;19370;18849;18800;18515;18174;18302;18313;
8600;37569;25714;22109;20507;20037;18977;19229;18939;18592;18741;18642;18366;
8700;38913;25549;22199;21028;20090;19696;19326;18823;19074;18835;18466;18527;
8800;38139;24696;22919;21332;20249;20043;19214;19372;19176;19209;19090;18764;
8900;36916;25230;22072;21576;20446;20266;19391;19576;19493;19236;19110;19079;
9000;37019;26321;22869;21718;21593;20459;19817;19877;19554;19462;19469;19236;
9100;39162;26821;23450;22116;21061;20759;20527;19951;19881;19839;19414;19635;
9200;38289;27109;23534;22336;21593;20980;20402;20370;20022;19920;19749;19917;
9300;40783;26649;23996;22409;21717;21073;20738;20505;20506;19881;19855;19742;
9400;41210;27499;24146;21999;21921;21039;20690;20947;20562;20480;20217;20012;
9500;42099;27887;24547;23081;22000;21455;20920;21183;20873;20404;20599;20530;
9600;42249;28117;25002;22218;22472;21796;21580;20586;20907;20751;20771;20564;
9700;41956;28663;24921;23494;21862;21907;21417;21310;21317;21101;20915;20987;
9800;37086;26605;24179;23947;22984;21931;21933;21292;21260;21003;20971;20902;
9900;42140;28666;25202;23904;23152;22406;22044;21866;21670;21460;21450;20991;
10000;44108;27927;25914;24219;23262;22750;22420;21791;21855;21668;21459;21455;
