N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
8100;43402;27187;23243;21484;20411;19914;19460;19156;19072;18920;18591;18634;
8200;43989;27502;23560;21616;20613;20114;19737;19384;19232;19001;18955;18862;
8300;45070;27917;23803;21945;21182;20403;20021;19765;19427;19195;19051;19094;
8400;45250;28248;24131;22229;21301;20598;20144;19818;19655;19430;19335;19365;
8500;46041;28616;24322;22577;21608;20825;20448;20132;20081;19669;19454;19536;
8600;46590;28965;24586;22814;21701;21131;20524;20338;20081;19870;19697;19709;
8700;47103;29128;24903;22945;21973;21202;20823;20579;20392;20172;20064;19998;
8800;47819;29463;25088;23249;22290;21510;20995;20756;20581;20413;20157;20294;
8900;48080;29863;25472;23674;22464;21708;21266;21087;20779;20566;20404;20436;
9000;48825;30196;25769;23945;22647;21905;21614;21276;21062;20864;20539;20552;
9100;49253;30453;26059;24290;23269;22202;21808;21458;21298;21079;20701;21005;
9200;49903;30785;26340;24368;23212;22443;22264;21736;21492;21334;21254;20989;
9300;50240;31316;26575;24564;23505;22693;22241;22061;21740;21391;21362;21225;
9400;50520;31389;26854;24811;23709;23155;22569;22246;21954;21656;21494;21430;
9500;51383;31787;27123;25113;23985;23347;22804;22408;22200;21942;21762;21650;
9600;52270;32018;27404;25346;24254;23402;23023;22690;22622;22206;21946;21745;
9700;52917;32558;27795;25622;24494;23609;23540;22818;22699;22465;22217;22014;
9800;52911;32875;27925;25990;24715;23934;23484;22936;22769;22710;22605;22072;
9900;53572;33158;28249;26363;24878;24304;23877;23235;23155;23067;22765;22470;
10000;53941;33613;28485;26398;25226;24458;24164;23474;23302;22998;22982;22729;
