N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
5000;130.950372;72.131824;55.650696;59.143892;61.781874;59.732738;52.172790;54.009258;58.068925;54.845237;56.577381;58.318093;
5100;113.026546;60.745370;55.090834;50.497525;49.949975;48.703183;48.805737;47.937459;51.565492;52.249402;55.416604;58.051701;
5200;103.043680;62.008064;47.518417;68.520070;43.081318;43.104524;46.743984;43.623388;44.395946;47.010637;47.539457;49.709154;
5300;98.473347;58.940648;44.799554;42.296572;42.142615;45.332108;41.231056;42.035699;44.944410;45.376205;45.276926;45.923850;
5400;87.321246;57.688820;57.489129;49.789557;44.888751;56.727418;45.934736;47.169906;54.221767;48.959167;51.903757;52.019227;
5500;108.926581;59.774577;52.364110;52.773099;56.302753;51.797683;52.278102;55.154329;51.652686;53.150729;55.497748;55.172457;
5600;115.676272;63.245553;54.671748;57.262553;55.605755;49.295030;49.487372;49.223978;61.204575;58.991525;55.163394;56.026779;
5700;115.814507;72.773622;61.032778;59.866518;63.678882;55.452683;56.789083;59.110067;58.940648;62.000000;60.975405;65.992424;
5800;133.424136;79.391435;69.878466;64.637450;64.288413;59.380131;59.908263;59.891569;60.770058;60.382117;61.310684;61.441029;
5900;125.391387;84.273365;69.195376;61.660360;61.806149;68.811336;58.000000;57.948253;58.898217;60.124870;61.497967;65.543878;
6000;133.401649;78.370913;58.940648;57.489129;64.536811;58.480766;57.218878;57.035077;60.290961;58.180753;60.440053;62.745518;
6100;129.903811;81.993902;63.537391;63.245553;61.506097;68.425142;63.134776;60.852280;59.816386;68.198240;68.745909;69.656299;
6200;128.825463;75.756188;72.117959;66.648331;62.225397;66.362640;65.000000;67.579583;65.787537;66.340033;66.610810;69.742383;
6300;133.988806;86.654486;75.637292;64.923031;65.954530;64.085880;63.206012;61.497967;62.161081;62.849025;69.842680;74.906609;
6400;134.962958;82.704293;66.603303;65.398777;64.179436;64.117080;65.764732;66.355105;72.636079;73.600272;77.006493;76.980517;
6500;147.641458;90.055538;73.116346;79.485848;74.060786;71.147734;67.675697;67.697858;69.935685;73.368931;69.978568;70.611614;
6600;145.880088;89.095454;81.080207;72.491379;68.088178;64.815122;66.249528;66.985073;70.484041;72.394751;70.696535;71.651936;
6700;143.857568;90.083295;73.790243;70.717749;69.821200;68.271517;69.627581;69.634761;71.805292;68.840395;76.902536;73.579889;
6800;149.793191;76.928538;67.052218;66.279710;63.126856;69.899928;66.362640;65.635356;67.712628;73.430239;73.613857;73.797019;
6900;160.299719;100.553468;77.775317;72.311825;75.073298;71.874891;74.859869;74.256313;75.445344;78.217645;78.885994;77.627315;
7000;167.582815;86.590993;79.718254;70.427267;73.218850;72.842295;75.066637;76.863515;80.591563;83.791408;85.299472;85.749636;
7100;167.678263;108.848519;82.310388;86.040688;81.908486;78.600254;76.824475;75.901252;76.092050;77.420927;78.262379;77.820306;
7200;158.268759;93.957437;79.056942;85.737973;74.316889;74.953319;74.739548;75.425460;83.952367;79.227520;81.590441;84.065451;
7300;154.175225;103.740060;88.966286;83.132424;79.322128;79.636675;79.366240;80.024996;80.268300;85.475143;83.114379;83.570330;
7400;175.091405;99.548983;81.160335;73.307571;75.815566;72.360210;74.067537;80.224684;73.688534;77.665951;79.724526;78.428311;
7500;150.086642;92.946221;80.950602;80.529498;77.375707;72.670489;73.034239;76.026311;75.630682;81.074040;80.938248;87.132084;
7600;161.523992;96.005208;89.554453;84.782074;87.971586;79.893679;81.987804;82.170554;80.597767;78.523882;83.246622;82.456049;
7700;172.203368;99.513818;81.731267;78.268768;76.439519;75.504967;75.716577;81.264999;82.969874;81.792420;87.068938;87.183714;
7800;174.854225;96.979379;80.311892;78.070481;78.638413;75.059976;77.910205;76.164296;78.070481;80.579154;76.765878;84.740781;
7900;176.408617;98.285299;86.353923;77.265775;74.551995;74.605630;77.871689;80.467385;83.660026;87.338422;88.797522;88.836929;
8000;166.327989;100.404183;84.023806;79.265377;79.139118;80.243380;79.899937;80.430094;79.195959;84.675853;83.683929;90.099945;
8100;181.791089;104.723445;87.241045;80.118662;82.207056;77.427385;71.805292;84.000000;83.414627;80.808415;85.656290;82.109683;
8200;178.502101;103.063087;94.175368;104.383907;100.005000;88.803153;86.781334;93.252346;89.089842;92.385064;94.122261;97.267672;
8300;194.020617;112.347675;103.319892;95.215545;97.226540;99.201814;96.788429;102.435345;99.357939;100.014999;101.685791;102.347447;
8400;201.938109;122.979673;100.389242;103.223059;107.242715;102.893148;98.731960;98.442877;102.127371;106.742681;107.740429;106.794195;
8500;210.919416;126.510869;99.859902;94.392796;93.760333;97.103038;93.085982;93.669632;95.947903;101.380471;105.389753;107.939798;
