N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
8100;43693;27355;23056;21420;20420;19947;19208;19187;18897;18589;18495;18494;
8200;43894;27541;23445;21623;20666;20170;19573;19284;19101;18834;18562;18622;
8300;44421;27848;23776;21964;20942;20354;19788;19709;19342;19045;18950;18935;
8400;45199;28315;24056;22192;21208;20500;20204;19794;19539;19396;19136;19183;
8500;45862;28592;24333;22435;21489;20723;20366;20031;19917;19587;19298;19416;
8600;46445;28954;24484;22606;21674;20935;20521;20299;19893;19794;19691;19632;
8700;46869;29289;24878;22990;22007;21206;20743;20661;20376;20013;19700;19675;
8800;47157;29381;25120;23262;22234;21391;21028;20643;20434;20157;20089;19993;
8900;48106;29850;25295;23655;22502;21757;21178;20853;20687;20427;20327;20207;
9000;48351;30197;25720;23978;22613;21868;21510;21051;20934;20734;20465;20418;
9100;49029;30399;25862;24045;22923;22167;21874;21403;21132;20983;20642;20784;
9200;49580;30777;26188;24382;23284;22474;21950;21612;21377;21298;20930;21076;
9300;50336;30996;26578;24514;23359;22633;22191;21790;21504;21421;21187;21024;
9400;50346;31481;26835;24724;23658;22864;22530;22002;21845;21540;21343;21314;
9500;51415;31541;27111;25000;23892;23009;22760;22344;22072;21693;21602;21547;
9600;51938;32100;27414;25262;24182;23360;22898;22462;22317;22163;21957;21648;
9700;52172;32470;27742;25534;24463;23502;23135;22767;22587;22220;21995;21805;
9800;52530;32735;27955;25886;24685;23863;23353;22987;22737;22441;22207;22145;
9900;53189;33068;28283;25977;24806;24120;23855;23190;22998;22736;22503;22382;
10000;53625;33533;28543;26326;25121;24207;23951;23292;23257;23116;22662;22619;
