N;Beg;Mid;End;False
13400;193.700000;181.900000;200.930000;173.130000;
13500;191.770000;178.820000;175.670000;223.900000;
13600;192.760000;177.560000;204.970000;220.050000;
13700;191.390000;176.850000;173.760000;217.220000;
13800;193.600000;218.700000;238.240000;203.050000;
13900;257.210000;191.410000;177.970000;204.290000;
14000;303.000000;195.620000;204.850000;319.790000;
14100;256.050000;197.170000;178.200000;217.210000;
14200;299.280000;318.250000;235.550000;209.170000;
14300;221.210000;283.190000;524.010000;741.970000;
14400;212.610000;189.950000;215.040000;209.220000;
14500;281.880000;188.690000;173.910000;232.510000;
14600;352.410000;298.130000;516.510000;227.590000;
14700;254.900000;222.160000;191.660000;223.160000;
14800;283.330000;219.260000;218.830000;278.200000;
14900;193.940000;207.540000;183.530000;197.970000;
15000;188.380000;190.290000;206.000000;195.900000;
15100;219.860000;197.740000;184.250000;219.090000;
15200;313.870000;345.540000;239.080000;374.880000;
15300;270.060000;212.320000;182.600000;286.910000;
15400;208.100000;185.570000;345.420000;198.780000;
15500;248.070000;199.740000;223.380000;203.850000;
15600;220.290000;185.150000;211.880000;288.130000;
15700;209.510000;180.700000;178.280000;196.990000;
15800;251.240000;185.100000;212.880000;199.850000;
15900;239.480000;260.170000;183.760000;217.190000;
16000;198.910000;205.320000;222.640000;211.240000;
16100;184.850000;185.910000;178.690000;203.190000;
16200;184.230000;179.070000;204.590000;200.910000;
16300;181.380000;178.780000;178.040000;185.770000;
16400;229.150000;180.010000;205.280000;181.560000;
16500;178.020000;177.500000;175.740000;180.550000;
16600;177.740000;178.060000;204.760000;220.310000;
16700;177.230000;178.300000;177.110000;180.840000;
16800;189.470000;206.140000;202.890000;209.180000;
16900;234.940000;201.670000;312.950000;205.600000;
17000;333.110000;217.550000;240.170000;268.290000;
17100;241.630000;270.900000;185.470000;531.550000;
17200;261.200000;182.580000;467.230000;201.910000;
17300;194.660000;196.540000;170.720000;290.380000;
17400;195.590000;216.250000;224.410000;197.090000;
17500;340.930000;228.690000;177.640000;252.940000;
17600;219.220000;183.920000;202.530000;270.680000;
17700;209.990000;185.090000;176.200000;233.300000;
17800;189.960000;177.100000;200.870000;219.630000;
17900;189.410000;212.200000;196.470000;248.770000;
18000;270.630000;236.280000;251.710000;226.110000;
18100;295.710000;274.290000;256.220000;545.600000;
