N;Beg;Mid;End;False
13400;27.000000;25.000000;25.000000;21.000000;
13500;27.000000;25.000000;25.000000;27.000000;
13600;27.000000;25.000000;25.000000;27.000000;
13700;27.000000;25.000000;25.000000;27.000000;
13800;27.000000;27.000000;27.000000;27.000000;
13900;27.000000;25.000000;25.000000;27.000000;
14000;27.000000;25.000000;25.000000;27.000000;
14100;25.000000;25.000000;25.000000;27.000000;
14200;27.000000;27.000000;27.000000;27.000000;
14300;25.000000;27.000000;27.000000;25.000000;
14400;25.000000;25.000000;25.000000;25.000000;
14500;25.000000;25.000000;25.000000;27.000000;
14600;25.000000;25.000000;25.000000;27.000000;
14700;27.000000;27.000000;27.000000;27.000000;
14800;25.000000;27.000000;27.000000;27.000000;
14900;25.000000;27.000000;27.000000;27.000000;
15000;25.000000;25.000000;25.000000;21.000000;
15100;27.000000;27.000000;27.000000;25.000000;
15200;27.000000;27.000000;27.000000;27.000000;
15300;25.000000;27.000000;27.000000;27.000000;
15400;25.000000;27.000000;27.000000;27.000000;
15500;25.000000;25.000000;25.000000;27.000000;
15600;27.000000;27.000000;27.000000;25.000000;
15700;27.000000;27.000000;27.000000;27.000000;
15800;27.000000;27.000000;27.000000;27.000000;
15900;25.000000;27.000000;27.000000;25.000000;
16000;25.000000;25.000000;25.000000;25.000000;
16100;25.000000;27.000000;27.000000;25.000000;
16200;25.000000;27.000000;27.000000;25.000000;
16300;25.000000;27.000000;27.000000;25.000000;
16400;27.000000;27.000000;27.000000;25.000000;
16500;25.000000;27.000000;27.000000;25.000000;
16600;25.000000;27.000000;27.000000;27.000000;
16700;25.000000;27.000000;27.000000;25.000000;
16800;25.000000;25.000000;25.000000;27.000000;
16900;27.000000;25.000000;25.000000;25.000000;
17000;25.000000;25.000000;25.000000;27.000000;
17100;25.000000;25.000000;25.000000;25.000000;
17200;25.000000;25.000000;25.000000;25.000000;
17300;25.000000;25.000000;25.000000;27.000000;
17400;25.000000;27.000000;27.000000;25.000000;
17500;25.000000;25.000000;25.000000;25.000000;
17600;25.000000;25.000000;25.000000;25.000000;
17700;25.000000;25.000000;25.000000;27.000000;
17800;25.000000;25.000000;25.000000;27.000000;
17900;25.000000;27.000000;27.000000;25.000000;
18000;25.000000;25.000000;25.000000;27.000000;
18100;25.000000;25.000000;25.000000;27.000000;
18200;25.000000;25.000000;25.000000;27.000000;
18300;27.000000;27.000000;27.000000;25.000000;
18400;25.000000;27.000000;27.000000;25.000000;
18500;25.000000;25.000000;25.000000;25.000000;
18600;25.000000;25.000000;25.000000;27.000000;
18700;25.000000;25.000000;25.000000;27.000000;
18800;27.000000;27.000000;27.000000;27.000000;
18900;25.000000;27.000000;27.000000;27.000000;
19000;25.000000;27.000000;27.000000;27.000000;
19100;25.000000;25.000000;25.000000;27.000000;
19200;25.000000;25.000000;25.000000;25.000000;
19300;27.000000;27.000000;27.000000;27.000000;
19400;25.000000;27.000000;27.000000;27.000000;
19500;25.000000;27.000000;27.000000;25.000000;
19600;25.000000;25.000000;25.000000;27.000000;
19700;27.000000;27.000000;27.000000;25.000000;
19800;27.000000;27.000000;27.000000;27.000000;
19900;27.000000;27.000000;27.000000;25.000000;
20000;25.000000;27.000000;27.000000;25.000000;
20100;25.000000;25.000000;25.000000;25.000000;
20200;25.000000;27.000000;27.000000;25.000000;
20300;25.000000;27.000000;27.000000;25.000000;
20400;25.000000;27.000000;27.000000;25.000000;
20500;27.000000;27.000000;27.000000;25.000000;
20600;25.000000;27.000000;27.000000;25.000000;
20700;25.000000;27.000000;27.000000;25.000000;
20800;25.000000;29.000000;29.000000;25.000000;
20900;25.000000;29.000000;29.000000;27.000000;
21000;27.000000;29.000000;29.000000;25.000000;
21100;25.000000;29.000000;29.000000;25.000000;
21200;25.000000;29.000000;29.000000;25.000000;
21300;25.000000;29.000000;29.000000;25.000000;
21400;25.000000;29.000000;29.000000;27.000000;
21500;25.000000;27.000000;27.000000;27.000000;
21600;25.000000;29.000000;29.000000;25.000000;
21700;25.000000;29.000000;29.000000;25.000000;
21800;25.000000;29.000000;29.000000;25.000000;
21900;25.000000;29.000000;29.000000;25.000000;
22000;25.000000;27.000000;27.000000;29.000000;
22100;25.000000;29.000000;29.000000;25.000000;
22200;25.000000;29.000000;29.000000;25.000000;
22300;29.000000;29.000000;29.000000;29.000000;
22400;29.000000;29.000000;29.000000;29.000000;
22500;29.000000;27.000000;27.000000;29.000000;
22600;29.000000;29.000000;29.000000;29.000000;
22700;29.000000;29.000000;29.000000;29.000000;
22800;29.000000;29.000000;29.000000;25.000000;
22900;25.000000;27.000000;27.000000;25.000000;
23000;29.000000;27.000000;27.000000;25.000000;
23100;29.000000;27.000000;27.000000;29.000000;
23200;29.000000;29.000000;29.000000;25.000000;
23300;29.000000;29.000000;29.000000;29.000000;
23400;25.000000;27.000000;27.000000;25.000000;
23500;29.000000;27.000000;27.000000;29.000000;
23600;29.000000;27.000000;27.000000;29.000000;
23700;29.000000;29.000000;29.000000;25.000000;
23800;25.000000;27.000000;27.000000;29.000000;
23900;25.000000;27.000000;27.000000;29.000000;
24000;29.000000;27.000000;27.000000;29.000000;
24100;29.000000;27.000000;27.000000;29.000000;
24200;29.000000;29.000000;29.000000;29.000000;
24300;29.000000;27.000000;27.000000;27.000000;
24400;29.000000;27.000000;27.000000;29.000000;
24500;29.000000;27.000000;27.000000;29.000000;
24600;27.000000;27.000000;27.000000;29.000000;
24700;29.000000;27.000000;27.000000;27.000000;
24800;29.000000;27.000000;27.000000;29.000000;
24900;29.000000;29.000000;29.000000;29.000000;
25000;29.000000;29.000000;29.000000;25.000000;
25100;27.000000;29.000000;29.000000;29.000000;
25200;29.000000;29.000000;29.000000;29.000000;
25300;29.000000;29.000000;29.000000;29.000000;
25400;29.000000;29.000000;29.000000;29.000000;
25500;29.000000;29.000000;29.000000;29.000000;
25600;27.000000;29.000000;29.000000;27.000000;
25700;29.000000;29.000000;29.000000;29.000000;
25800;29.000000;29.000000;29.000000;29.000000;
25900;29.000000;29.000000;29.000000;29.000000;
26000;29.000000;29.000000;29.000000;25.000000;
26100;29.000000;27.000000;27.000000;29.000000;
26200;29.000000;29.000000;29.000000;25.000000;
26300;29.000000;29.000000;29.000000;29.000000;
26400;29.000000;29.000000;29.000000;29.000000;
26500;29.000000;29.000000;29.000000;29.000000;
26600;29.000000;27.000000;27.000000;29.000000;
26700;29.000000;29.000000;29.000000;29.000000;
26800;29.000000;29.000000;29.000000;29.000000;
26900;29.000000;29.000000;29.000000;25.000000;
27000;25.000000;27.000000;27.000000;25.000000;
27100;29.000000;27.000000;27.000000;29.000000;
27200;29.000000;29.000000;29.000000;29.000000;
27300;29.000000;29.000000;29.000000;25.000000;
27400;29.000000;29.000000;29.000000;29.000000;
27500;25.000000;27.000000;27.000000;29.000000;
27600;29.000000;27.000000;27.000000;29.000000;
27700;29.000000;27.000000;27.000000;29.000000;
27800;29.000000;29.000000;29.000000;25.000000;
27900;25.000000;27.000000;27.000000;27.000000;
28000;25.000000;27.000000;27.000000;29.000000;
28100;29.000000;27.000000;27.000000;29.000000;
28200;29.000000;27.000000;27.000000;29.000000;
28300;29.000000;29.000000;29.000000;29.000000;
28400;29.000000;27.000000;27.000000;27.000000;
28500;29.000000;27.000000;27.000000;29.000000;
28600;29.000000;27.000000;27.000000;29.000000;
28700;27.000000;27.000000;27.000000;27.000000;
28800;27.000000;29.000000;29.000000;27.000000;
28900;29.000000;27.000000;27.000000;29.000000;
29000;29.000000;27.000000;27.000000;29.000000;
29100;29.000000;27.000000;27.000000;29.000000;
29200;27.000000;27.000000;27.000000;29.000000;
29300;29.000000;27.000000;27.000000;29.000000;
29400;29.000000;27.000000;27.000000;29.000000;
29500;29.000000;27.000000;27.000000;27.000000;
29600;29.000000;27.000000;27.000000;29.000000;
29700;27.000000;27.000000;27.000000;27.000000;
29800;29.000000;27.000000;27.000000;29.000000;
29900;29.000000;27.000000;27.000000;27.000000;
30000;29.000000;27.000000;27.000000;27.000000;
30100;29.000000;27.000000;27.000000;29.000000;
30200;29.000000;29.000000;29.000000;27.000000;
30300;29.000000;27.000000;27.000000;27.000000;
30400;27.000000;27.000000;27.000000;27.000000;
30500;27.000000;27.000000;27.000000;27.000000;
30600;27.000000;27.000000;27.000000;27.000000;
30700;27.000000;29.000000;29.000000;29.000000;
30800;27.000000;27.000000;27.000000;27.000000;
30900;27.000000;27.000000;27.000000;27.000000;
31000;27.000000;27.000000;27.000000;29.000000;
31100;29.000000;29.000000;29.000000;27.000000;
31200;27.000000;29.000000;29.000000;27.000000;
31300;27.000000;27.000000;27.000000;27.000000;
31400;27.000000;27.000000;27.000000;29.000000;
31500;27.000000;27.000000;27.000000;27.000000;
31600;29.000000;29.000000;29.000000;27.000000;
31700;27.000000;29.000000;29.000000;27.000000;
31800;27.000000;29.000000;29.000000;27.000000;
31900;27.000000;27.000000;27.000000;27.000000;
32000;27.000000;27.000000;27.000000;29.000000;
32100;29.000000;29.000000;29.000000;27.000000;
32200;27.000000;29.000000;29.000000;27.000000;
32300;27.000000;29.000000;29.000000;29.000000;
32400;27.000000;27.000000;27.000000;27.000000;
32500;27.000000;29.000000;29.000000;29.000000;
32600;27.000000;29.000000;29.000000;27.000000;
32700;27.000000;29.000000;29.000000;29.000000;
32800;29.000000;29.000000;29.000000;29.000000;
32900;29.000000;27.000000;27.000000;29.000000;
33000;27.000000;29.000000;29.000000;27.000000;
33100;27.000000;27.000000;27.000000;27.000000;
33200;27.000000;27.000000;27.000000;27.000000;
33300;29.000000;27.000000;27.000000;27.000000;
33400;27.000000;27.000000;27.000000;27.000000;
33500;27.000000;27.000000;27.000000;29.000000;
33600;27.000000;27.000000;27.000000;29.000000;
33700;27.000000;27.000000;27.000000;27.000000;
33800;29.000000;27.000000;27.000000;29.000000;
33900;27.000000;27.000000;27.000000;29.000000;
34000;27.000000;27.000000;27.000000;27.000000;
34100;27.000000;27.000000;27.000000;27.000000;
34200;27.000000;27.000000;27.000000;29.000000;
34300;27.000000;29.000000;29.000000;29.000000;
