N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
8100;41776;26437;22575;20879;19910;19476;19032;18837;18358;18327;18200;18192;
8200;41531;26563;22588;21169;19998;19408;19034;18958;18736;18562;18289;18340;
8300;42090;27047;23022;21369;20392;19510;19461;19284;18970;18785;18412;18413;
8400;43097;27268;23242;21414;20447;19940;19700;19446;19209;18913;18630;18649;
8500;43564;27460;23856;21986;20799;20173;19817;19563;19335;19223;19023;18938;
8600;44183;28168;23918;22123;20983;20315;20043;19799;19503;19169;18860;19240;
8700;44913;28403;24280;22440;21040;20806;20133;20136;19972;19574;19384;19491;
8800;45286;27997;24117;22805;21708;20974;20535;20166;20080;19608;19709;19721;
8900;46136;29072;24489;22938;21909;21188;20849;20292;20299;20039;19818;19715;
9000;46523;29137;24730;23218;21797;21346;21166;20810;20628;20380;20056;20104;
9100;46808;29543;25483;23461;22297;21438;21392;20996;20718;20500;20328;19970;
9200;47561;29725;25684;23745;22671;22000;21413;21173;20945;20731;20604;20613;
9300;48522;29930;25898;24017;22817;22089;21729;21488;21273;21009;20814;20788;
9400;48478;30429;25917;24163;22824;22504;21693;21602;21399;20957;20796;20906;
9500;48920;30929;26267;24631;23266;22707;22218;21707;21629;21205;21033;21189;
9600;49921;31118;26845;24559;23620;22878;22405;22095;21790;21641;21291;21276;
9700;50554;31775;27134;24856;23732;23041;22614;22302;22187;21792;21711;21497;
9800;50493;31735;27122;25104;24108;23480;22990;22417;22294;22047;21719;21820;
9900;50411;32327;27651;25371;24309;23451;23249;22692;22598;22310;22072;21978;
10000;51680;32066;27889;25565;24442;23529;23322;22849;22737;22240;22031;21914;
