2300;29279.000000;14792.000000;217;12.730000;6.431304;1333505.000000;1333505.000000;4897;579.784790;579.784790;22849.000000;25804.000000;326;9.934348;11.219131;35865.000000;6407.000000;212;15.593478;2.785652;52634.000000;39086.000000;246;22.884348;16.993914;
2400;27316.000000;15549.000000;218;11.381667;6.478750;1492665.000000;1492665.000000;5460;621.943726;621.943726;23949.000000;27104.000000;375;9.978750;11.293333;37848.000000;6743.000000;223;15.770000;2.809583;57495.000000;43952.000000;253;23.956249;18.313334;
2500;28406.000000;15415.000000;213;11.362400;6.166000;1555209.000000;1555209.000000;5688;622.083618;622.083618;25114.000000;28404.000000;855;10.045600;11.361600;41514.000000;6981.000000;240;16.605600;2.792400;63526.000000;47155.000000;280;25.410400;18.862000;
2600;29451.000000;16823.000000;225;11.327308;6.470385;1661590.000000;1661590.000000;6010;639.073059;639.073059;26277.000000;29704.000000;390;10.106539;11.424616;41025.000000;7359.000000;241;15.778846;2.830385;61837.000000;47385.000000;281;23.783461;18.225000;
2700;30574.000000;18114.000000;247;11.323704;6.708889;1790502.000000;1790502.000000;6524;663.148865;663.148865;27382.000000;31004.000000;370;10.141481;11.482963;45442.000000;7566.000000;252;16.830370;2.802222;67308.000000;49087.000000;289;24.928888;18.180370;
2800;32765.000000;18261.000000;240;11.701786;6.521786;1944767.000000;1944767.000000;7100;694.559631;694.559631;28606.000000;32304.000000;380;10.216429;11.537143;44852.000000;7980.000000;264;16.018572;2.850000;68969.000000;52392.000000;307;24.631786;18.711428;
2900;34260.000000;18019.000000;266;11.813793;6.213448;2085302.000000;2085302.000000;7626;719.069641;719.069641;29687.000000;33604.000000;395;10.236897;11.587586;48696.000000;8216.000000;276;16.791723;2.833103;69969.000000;50040.000000;302;24.127241;17.255173;
3000;37459.000000;21565.000000;271;12.486333;7.188334;2242595.000000;2242595.000000;8217;747.531677;747.531677;30856.000000;34904.000000;404;10.285334;11.634666;48200.000000;8615.000000;282;16.066668;2.871667;75639.000000;57826.000000;324;25.212999;19.275333;
3100;37471.000000;21325.000000;287;12.087420;6.879032;2420868.000000;2420868.000000;8840;780.925171;780.925171;32099.000000;36204.000000;433;10.354516;11.678710;51677.000000;8864.000000;291;16.670000;2.859355;73376.000000;52650.000000;318;23.669678;16.983871;
3200;37577.000000;21531.000000;281;11.742812;6.728437;2576296.000000;2576296.000000;9405;805.092529;805.092529;33293.000000;37504.000000;464;10.404062;11.720000;53205.000000;9238.000000;304;16.626562;2.886875;80063.000000;59912.000000;344;25.019688;18.722500;
