N;DC;DS;DT;DCN;DSN;IC;IS;IT;ICN;ISN;MC;MS;MT;MCN;MSN;QC;QS;QT;QCN;QSN;HC;HS;HT;HCN;HSN
100;644.000000;447.000000;13;6.440000;4.470000;2706.000000;2706.000000;22;27.059999;27.059999;550.000000;672.000000;36;5.500000;6.720000;957.000000;172.000000;14;9.570000;1.720000;833.000000;584.000000;9;8.330000;5.840000;
200;1352.000000;882.000000;24;6.760000;4.410000;10384.000000;10384.000000;79;51.919998;51.919998;1279.000000;1544.000000;42;6.395000;7.720000;2138.000000;408.000000;32;10.690000;2.040000;1998.000000;1417.000000;21;9.990000;7.085000;
300;2342.000000;1394.000000;38;7.806667;4.646667;23181.000000;23181.000000;174;77.269997;77.269997;2087.000000;2488.000000;73;6.956666;8.293333;3629.000000;599.000000;42;12.096666;1.996667;3597.000000;2350.000000;21;11.990000;7.833333;
400;3584.000000;1754.000000;25;8.960000;4.385000;42073.000000;42073.000000;157;105.182503;105.182503;2969.000000;3488.000000;49;7.422500;8.720000;5185.000000;875.000000;33;12.962500;2.187500;5224.000000;3113.000000;25;13.060000;7.782500;
500;4320.000000;2604.000000;34;8.640000;5.208000;63598.000000;63598.000000;239;127.195999;127.195999;3854.000000;4488.000000;67;7.708000;8.976000;6455.000000;1139.000000;42;12.910000;2.278000;6554.000000;4058.000000;33;13.108000;8.116000;
600;5590.000000;3328.000000;43;9.316667;5.546667;88346.000000;88346.000000;331;147.243332;147.243332;4820.000000;5576.000000;76;8.033334;9.293333;9449.000000;1347.000000;53;15.748333;2.245000;9616.000000;4935.000000;41;16.026667;8.225000;
700;6803.000000;4079.000000;59;9.718572;5.827143;120341.000000;120341.000000;438;171.915710;171.915710;5744.000000;6676.000000;97;8.205714;9.537143;9629.000000;1662.000000;59;13.755714;2.374286;9488.000000;5524.000000;46;13.554286;7.891428;
800;7239.000000;4402.000000;62;9.048750;5.502500;164519.000000;164519.000000;603;205.648743;205.648743;6723.000000;7776.000000;106;8.403750;9.720000;11565.000000;1959.000000;68;14.456250;2.448750;11612.000000;6475.000000;55;14.515000;8.093750;
900;8743.000000;5276.000000;71;9.714444;5.862222;206998.000000;206998.000000;757;229.997772;229.997772;7724.000000;8876.000000;139;8.582222;9.862223;11978.000000;2247.000000;75;13.308888;2.496667;12275.000000;7759.000000;61;13.638889;8.621111;
1000;9634.000000;5494.000000;77;9.634000;5.494000;251772.000000;251772.000000;930;251.772003;251.772003;8730.000000;9976.000000;140;8.730000;9.976000;14768.000000;2509.000000;87;14.768000;2.509000;14884.000000;8412.000000;71;14.884000;8.412000;
1100;10890.000000;6507.000000;88;9.900000;5.915454;296464.000000;296464.000000;1087;269.512726;269.512726;9728.000000;11152.000000;163;8.843637;10.138182;16193.000000;2764.000000;96;14.720909;2.512727;16148.000000;9125.000000;78;14.680000;8.295455;
1200;12436.000000;7438.000000;93;10.363334;6.198333;362896.000000;362896.000000;1342;302.413330;302.413330;10833.000000;12352.000000;172;9.027500;10.293333;17873.000000;3051.000000;109;14.894167;2.542500;18411.000000;10590.000000;89;15.342500;8.825000;
1300;13450.000000;8121.000000;114;10.346154;6.246923;427231.000000;427231.000000;1561;328.639221;328.639221;11830.000000;13552.000000;188;9.100000;10.424616;18248.000000;3377.000000;117;14.036923;2.597692;18158.000000;10750.000000;95;13.967692;8.269231;
1400;15753.000000;8576.000000;126;11.252143;6.125714;487058.000000;487058.000000;1778;347.898560;347.898560;12916.000000;14752.000000;198;9.225715;10.537143;19744.000000;3720.000000;122;14.102858;2.657143;19647.000000;11489.000000;100;14.033571;8.206429;
