N;DC;DS;DT;DCN;DSN;IC;IS;IT;ICN;ISN;MC;MS;MT;MCN;MSN;QC;QS;QT;QCN;QSN;HC;HS;HT;HCN;HSN
2600;30676.199219;16486.800781;299;11.798538;6.341077;1691775.625000;1691775.625000;7568;650.682922;650.682922;26263.000000;29704.000000;719;10.101153;11.424616;42495.898438;7353.500000;416;16.344576;2.828269;42593.398438;22264.099609;334;16.382076;8.563115;
2700;32407.099609;18486.900391;396;12.002629;6.847000;1828255.625000;1828255.625000;9728;677.131714;677.131714;27414.099609;31004.000000;524;10.153370;11.482963;43898.800781;7655.200195;371;16.258816;2.835259;43961.101562;23090.300781;306;16.281889;8.551963;
2800;33710.601562;18849.900391;353;12.039500;6.732107;1960620.750000;1960620.750000;10146;700.221680;700.221680;28591.000000;32304.000000;510;10.211071;11.537143;45992.398438;7959.000000;390;16.425856;2.842500;45880.000000;23717.900391;313;16.385714;8.470678;
2900;34870.699219;19700.699219;359;12.024379;6.793344;2111607.750000;2111607.750000;10770;728.140625;728.140625;29741.900391;33604.000000;461;10.255828;11.587586;47589.699219;8294.299805;343;16.410240;2.860103;47619.000000;24846.800781;278;16.420345;8.567863;
3000;36242.398438;20481.500000;317;12.080799;6.827167;2248737.250000;2248737.250000;9212;749.579102;749.579102;30921.800781;34904.000000;406;10.307267;11.634666;48893.101562;8648.700195;299;16.297701;2.882900;48656.101562;25472.699219;245;16.218700;8.490900;
3100;38157.800781;20977.900391;287;12.308968;6.767065;2399117.500000;2399117.500000;8802;773.908875;773.908875;32084.500000;36204.000000;429;10.349838;11.678710;52357.500000;8876.599609;310;16.889517;2.863419;52187.199219;26434.199219;254;16.834579;8.527161;
3200;38994.699219;22153.099609;292;12.185843;6.922843;2565187.500000;2565187.500000;9437;801.621094;801.621094;33281.601562;37504.000000;441;10.400500;11.720000;53254.601562;9287.799805;327;16.642063;2.902437;53126.199219;27340.800781;267;16.601936;8.544001;
3300;40193.300781;22932.800781;308;12.179789;6.949334;2721968.750000;2721968.750000;10036;824.838989;824.838989;34449.101562;38804.000000;465;10.439121;11.758788;56406.199219;9540.400391;331;17.092787;2.891030;56530.699219;28476.500000;272;17.130514;8.629243;
3400;40915.500000;23185.599609;314;12.033971;6.819294;2890675.500000;2890675.500000;10605;850.198669;850.198669;35644.898438;40104.000000;478;10.483793;11.795294;57441.898438;9915.900391;342;16.894676;2.916441;57489.398438;29315.000000;284;16.908648;8.622059;
3500;43094.699219;23697.199219;324;12.312771;6.770628;3051337.000000;3051337.000000;11227;871.810547;871.810547;36826.601562;41404.000000;522;10.521886;11.829714;59436.601562;10223.200195;402;16.981886;2.920914;59465.101562;30218.900391;317;16.990028;8.633971;
3600;44786.398438;24836.800781;373;12.440666;6.899111;3238111.500000;3238111.500000;13211;899.475403;899.475403;38022.101562;42704.000000;851;10.561695;11.862223;60688.000000;10569.599609;555;16.857779;2.936000;60391.800781;30895.400391;452;16.775499;8.582056;
3700;47052.500000;25944.800781;534;12.716892;7.012108;3423706.750000;3423706.750000;19123;925.326172;925.326172;39230.800781;44004.000000;751;10.602920;11.892973;63271.699219;10849.400391;544;17.100460;2.932270;63427.800781;32194.900391;447;17.142649;8.701324;
3800;47107.101562;26108.900391;514;12.396605;6.870763;3613064.750000;3613064.750000;18545;950.806519;950.806519;40405.000000;45304.000000;625;10.632895;11.922105;64809.300781;11207.000000;474;17.055079;2.949211;64695.101562;32707.500000;393;17.025026;8.607237;
3900;49838.000000;27116.800781;434;12.778975;6.953026;3800104.500000;3800104.500000;14563;974.385742;974.385742;41614.300781;46604.000000;537;10.670334;11.949743;66414.703125;11541.700195;410;17.029411;2.959410;66508.398438;33857.500000;332;17.053436;8.681410;
4000;49972.300781;27828.000000;376;12.493075;6.957000;4004258.000000;4004258.000000;14745;1001.064514;1001.064514;42845.199219;47904.000000;545;10.711300;11.976000;67767.703125;11884.000000;414;16.941925;2.971000;67716.101562;34491.300781;339;16.929026;8.622826;
4100;52684.800781;29050.699219;397;12.849952;7.085536;4196949.500000;4196949.500000;15451;1023.646240;1023.646240;44009.199219;49208.000000;573;10.733951;12.001951;69980.601562;12244.900391;423;17.068439;2.986561;69884.898438;35389.699219;346;17.045097;8.631634;
4200;53617.500000;29751.400391;393;12.766071;7.083667;4406852.000000;4406852.000000;16234;1049.250488;1049.250488;45247.398438;50608.000000;593;10.773190;12.049523;72767.203125;12521.200195;431;17.325525;2.981238;72504.601562;36093.500000;356;17.263000;8.593691;
4300;54313.199219;29966.199219;406;12.630977;6.968884;4638814.500000;4638814.500000;17125;1078.794067;1078.794067;46501.800781;52008.000000;667;10.814372;12.094884;75107.203125;12828.900391;445;17.466791;2.983465;75026.203125;37240.300781;362;17.447954;8.660535;
4400;56354.601562;31029.300781;412;12.807864;7.052114;4824079.000000;4824079.000000;18131;1096.381592;1096.381592;47763.601562;53408.000000;976;10.855364;12.138182;76939.796875;13154.599609;586;17.486317;2.989682;77056.398438;38382.898438;484;17.512817;8.723386;
4500;57241.800781;31433.699219;587;12.720400;6.985267;5084125.500000;5084125.500000;25708;1129.805664;1129.805664;48988.500000;54808.000000;839;10.886333;12.179556;76183.500000;13567.599609;633;16.929667;3.015022;76087.796875;39186.601562;518;16.908400;8.708134;
4600;58523.500000;32944.800781;594;12.722500;7.161913;5292109.500000;5292109.500000;21813;1150.458618;1150.458618;50240.398438;56208.000000;657;10.921825;12.219131;79883.203125;13904.500000;484;17.365913;3.022717;79991.000000;40134.898438;409;17.389347;8.724977;
4700;59799.398438;32626.000000;454;12.723276;6.941702;5541181.000000;5541181.000000;20295;1178.974731;1178.974731;51476.898438;57608.000000;664;10.952532;12.257021;81908.203125;14225.900391;513;17.427277;3.026787;81564.796875;40632.500000;403;17.354212;8.645213;
4800;61223.699219;33830.101562;458;12.754937;7.047938;5750872.500000;5750872.500000;21127;1198.098389;1198.098389;52716.699219;59008.000000;667;10.982646;12.293333;82578.398438;14529.000000;504;17.203833;3.026875;82716.601562;42027.300781;412;17.232626;8.755688;
4900;63234.800781;34345.398438;499;12.905062;7.009265;5983037.000000;5983037.000000;22181;1221.027954;1221.027954;53993.398438;60408.000000;700;11.019061;12.328163;86048.203125;14835.599609;510;17.560858;3.027673;85899.796875;42542.199219;430;17.530571;8.682081;
5000;65458.898438;35374.800781;492;13.091780;7.074960;6245675.000000;6245675.000000;23224;1249.135010;1249.135010;55247.300781;61808.000000;1142;11.049460;12.361600;87539.703125;15155.299805;899;17.507940;3.031060;87190.000000;43199.199219;706;17.438000;8.639840;
5100;66557.000000;37037.601562;839;13.050392;7.262275;6479717.000000;6479717.000000;40381;1270.532715;1270.532715;56485.300781;63208.000000;1069;11.075549;12.393725;89159.101562;15596.500000;767;17.482176;3.058137;89181.398438;44724.800781;631;17.486549;8.769568;
