N;K3;K5;K7;K9;K11;K13;K15;K17;K19;K21;K23;K25
8100;35356;23915;21070;19529;18807;18396;17994;18062;17770;17524;17409;17478;
8200;35722;23440;21109;19647;19527;18838;17950;18466;17912;17952;17831;17821;
8300;35988;24647;21499;20092;18900;18795;18697;18336;17985;17824;18019;17896;
8400;37876;24747;21756;20431;19624;18748;18593;18510;18248;18184;18332;18200;
8500;36454;24849;21441;20846;19848;18988;19094;18786;18640;18560;18480;18427;
8600;36124;25238;22307;20359;20129;19557;19144;19261;18625;18803;18592;18741;
8700;37918;24372;22465;21228;20039;19769;19496;19227;19236;18722;18810;18881;
8800;37751;27100;22350;21548;20630;19952;19531;19536;19410;19223;18962;19045;
8900;38698;25716;23042;21206;20914;19871;20196;19432;19293;19381;18782;19175;
9000;37155;26497;23374;21522;21052;20747;20165;20070;19708;19583;19453;19525;
9100;36873;25795;23654;22118;21262;20301;20610;19760;20297;19612;19610;19557;
9200;40714;25355;23699;22317;21509;20966;20798;19911;20001;20079;19861;19846;
9300;40499;27311;23548;22773;21132;21187;20727;20570;20448;20104;20009;19975;
9400;39463;25714;24800;22871;21921;21186;20836;20593;20627;20350;20392;20209;
9500;39370;26735;24690;23206;22201;21744;21411;20556;20989;20557;20324;20323;
9600;38686;27688;24920;23205;21817;21856;21615;21151;21228;20815;20685;20714;
9700;39112;28798;24253;23336;23012;22320;21659;21458;21105;20928;20859;21008;
9800;42435;29067;26597;23917;22221;22375;21978;21702;21598;21059;21099;21098;
9900;44005;27941;25449;23839;23551;22578;21682;21884;22031;21629;21144;21114;
10000;43834;29567;25920;23664;23484;23065;22261;21899;22173;22004;21480;21586;
