7200;36995;23298;20097;18556;17710;17295;16878;16731;16401;16258;16243;16099;
7300;37660;23846;20454;18890;18018;17560;17088;16994;16714;16517;16463;16308;
7400;38266;24067;20654;19158;18241;17765;17359;17150;16942;16736;16656;16552;
7500;38565;24294;20942;19433;18510;18035;17591;17385;17148;16943;16891;16801;
7600;39459;24712;21165;19734;18774;18272;17768;17612;17321;17167;17101;17053;
7700;39372;25168;21443;19862;18983;18468;18004;17863;17542;17379;17345;17320;
7800;40277;25636;21765;20186;19259;18739;18179;18131;17792;17563;17548;17499;
7900;41086;25803;22120;20475;19536;18929;18436;18282;18017;17828;17728;17660;
8000;41408;26173;22351;20699;19821;19229;18678;18541;18320;18045;17988;17919;
8100;41935;26480;22603;20959;20004;19417;18950;18797;18499;18290;18166;18143;
8200;42351;26728;22909;21160;20278;19691;19188;19046;18761;18510;18394;18400;
8300;43008;27145;23265;21473;20486;19918;19488;19212;18902;18724;18603;18567;
8400;43656;27545;23519;21744;20776;20089;19678;19393;19123;18952;18861;18800;
8500;44088;27853;23703;21958;21029;20364;19919;19656;19384;19183;19063;18981;
8600;44539;28131;23981;22222;21242;20606;20137;19876;19619;19433;19234;19269;
8700;45305;28386;24342;22485;21446;20729;20363;20114;19914;19640;19430;19471;
8800;45818;28826;24552;22820;21751;21009;20620;20325;20157;19887;19668;19682;
8900;46345;29038;24845;23071;22019;21258;20858;20548;20315;20136;19899;19890;
9000;46507;29391;25133;23278;22190;21512;21103;20727;20619;20332;20114;20091;
9100;47536;29677;25316;23523;22459;21714;21387;20943;20796;20578;20317;20312;
9200;48008;29875;25633;23786;22693;21938;21609;21202;21036;20785;20545;20529;
9300;48076;30344;25947;24125;22894;22281;21830;21415;21258;20947;20807;20709;
9400;48768;30623;26285;24322;23174;22409;22027;21699;21484;21152;21027;20933;
9500;49223;30897;26495;24518;23470;22703;22278;21936;21731;21400;21211;21117;
9600;49892;31241;26807;24835;23685;22975;22489;22126;21957;21635;21413;21381;
9700;50020;31628;27066;25082;23925;23245;22730;22314;22185;21875;21680;21583;
9800;51055;32073;27473;25347;24147;23426;22965;22512;22360;22128;21882;21763;
9900;51585;32296;27610;25572;24489;23636;23230;22735;22582;22312;22141;21925;
10000;51887;32716;27887;25822;24675;23917;23509;22932;22868;22569;22327;22210;
